INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_100_1_4_5.txt;462;507;0;462;507;2;462;507;0;462;507;0;462;507;0;462;507;5
;problem_10_100_1_5_5.txt;433;481;0;433;481;1;433;481;0;433;481;0;433;481;0;433;481;7
;problem_10_100_2_1_5.txt;100;117;0;100;117;2;100;117;0;100;117;0;100;117;0;100;117;6
;problem_10_100_2_2_5.txt;82;94;0;146;159;2;146;159;0;146;159;0;146;159;0;146;159;9
;problem_10_100_2_3_5.txt;273;294;0;347;366;1;347;366;0;347;366;0;347;366;0;347;366;10
;problem_10_100_2_4_5.txt;441;481;0;459;497;1;459;497;0;459;497;0;459;497;0;459;497;11
;problem_10_100_2_5_5.txt;425;426;0;449;445;1;449;445;0;449;445;0;449;445;0;449;445;10
;problem_10_100_3_1_5.txt;91;141;0;91;141;1;91;141;0;91;141;0;101;141;0;91;141;10
;problem_10_100_3_2_5.txt;123;183;0;125;185;1;125;185;0;125;185;0;125;185;0;125;185;11
;problem_10_100_3_3_5.txt;188;248;0;238;298;2;238;298;0;238;298;0;238;298;0;238;298;22
;problem_10_100_3_4_5.txt;363;433;0;437;507;1;437;507;0;437;507;0;437;507;0;437;507;60
;problem_10_100_3_5_5.txt;421;501;0;495;575;1;495;575;0;495;575;0;495;575;0;495;575;13
;problem_10_100_4_1_5.txt;85;85;0;101;101;1;101;101;0;101;101;0;101;101;0;101;101;11
;problem_10_100_4_2_5.txt;117;117;0;129;129;2;129;129;0;129;129;0;129;129;0;129;129;12
;problem_10_100_4_3_5.txt;192;192;0;238;238;2;238;238;0;238;238;0;238;238;0;238;238;8
;problem_10_100_4_4_5.txt;429;429;0;437;437;2;437;437;0;437;437;0;437;437;0;437;437;89
;problem_10_100_4_5_5.txt;468;468;0;495;495;1;495;495;0;495;495;0;495;495;0;495;495;12
;problem_10_500_1_1_5.txt;291;873;0;464;949;1;464;949;0;464;949;0;464;949;0;464;949;12
;problem_10_500_1_2_5.txt;722;1390;0;830;1450;2;830;1450;0;830;1450;0;830;1450;0;830;1450;11
;problem_10_500_1_3_5.txt;782;2348;0;877;2396;2;877;2396;0;877;2396;0;877;2396;0;877;2396;9
;problem_10_500_1_4_5.txt;1357;2348;0;1357;2348;1;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;8
;problem_10_500_1_5_5.txt;2805;2814;0;2805;2814;1;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;8
;problem_10_500_2_1_5.txt;326;375;0;528;541;1;528;541;0;528;541;0;528;541;0;528;541;11
;problem_10_500_2_2_5.txt;740;831;0;868;875;1;868;875;0;868;875;0;868;875;1;868;875;85
;problem_10_500_2_3_5.txt;714;778;0;890;942;2;890;942;0;890;942;0;890;942;1;890;942;31
;problem_10_500_2_4_5.txt;1289;1493;0;1387;1501;1;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;18
;problem_10_500_2_5_5.txt;2754;2878;0;2935;2990;1;2935;2990;0;2935;2990;0;2935;2990;0;2935;2990;13
;problem_10_500_3_1_5.txt;497;537;0;497;537;1;497;537;0;497;537;0;497;537;1;497;537;8
;problem_10_500_3_2_5.txt;977;1017;0;1149;1189;1;1149;1189;0;1149;1189;0;1149;1189;1;1149;1189;65
;problem_10_500_3_3_5.txt;722;792;0;1038;1108;2;1038;1108;0;1038;1108;0;1038;1108;0;1038;1108;14
;problem_10_500_3_4_5.txt;1562;1642;0;1633;1703;1;1633;1703;0;1633;1703;0;1633;1703;0;1633;1703;66
;problem_10_500_3_5_5.txt;2771;2851;0;3079;3159;1;3079;3159;0;3079;3159;0;3079;3159;0;3079;3159;10
;problem_10_500_4_1_5.txt;485;485;0;498;498;2;498;498;0;498;498;0;498;498;0;498;498;10
;problem_10_500_4_2_5.txt;1098;1098;0;1154;1154;2;1154;1154;0;1154;1154;0;1154;1154;0;1154;1154;85
;problem_10_500_4_3_5.txt;792;792;0;1038;1038;2;1038;1038;0;1038;1038;0;1038;1038;0;1038;1038;9
;problem_10_500_4_4_5.txt;1600;1600;0;1637;1637;1;1637;1637;0;1637;1637;0;1637;1637;0;1637;1637;75
;problem_10_500_4_5_5.txt;3068;3068;0;3079;3079;1;3079;3079;0;3079;3079;0;3079;3079;0;3079;3079;10
;problem_10_1000_1_1_5.txt;786;2098;0;964;2287;1;964;2287;0;964;2287;0;964;2287;0;964;2287;12
;problem_10_1000_1_2_5.txt;1785;4084;0;1879;4089;1;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;10
;problem_10_1000_1_3_5.txt;1785;4084;0;1879;4089;1;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;9
;problem_10_1000_1_4_5.txt;2367;4649;0;2367;4649;1;2367;4649;0;2367;4649;0;2367;4649;0;2367;4649;7
;problem_10_1000_1_5_5.txt;5123;4213;0;5123;4213;2;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;9
;problem_10_1000_2_1_5.txt;991;1207;0;991;1207;1;991;1207;0;991;1207;0;991;1207;0;991;1207;8
;problem_10_1000_2_2_5.txt;1819;2047;0;1819;2047;2;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;52
;problem_10_1000_2_3_5.txt;2355;2661;0;2616;2864;1;2616;2864;0;2616;2864;0;2616;2864;0;2616;2864;12
;problem_10_1000_2_4_5.txt;2184;2476;0;2386;2561;1;2386;2561;0;2386;2561;0;2386;2561;0;2386;2561;17
;problem_10_1000_2_5_5.txt;4930;4959;0;5367;5336;1;5367;5336;0;5367;5336;0;5367;5336;1;5367;5336;14
;problem_10_1000_3_1_5.txt;990;1030;0;990;1030;1;990;1030;0;990;1030;0;1000;1030;0;990;1030;48
;problem_10_1000_3_2_5.txt;2132;2182;0;2153;2183;2;2153;2183;0;2153;2183;0;2153;2183;0;2153;2183;92
;problem_10_1000_3_3_5.txt;2204;2264;0;2288;2338;1;2288;2338;0;2288;2338;0;2288;2338;0;2288;2338;30
;problem_10_1000_3_4_5.txt;2469;2549;0;2633;2703;2;2633;2703;0;2633;2703;0;2633;2703;0;2633;2703;74
;problem_10_1000_3_5_5.txt;3926;4006;0;4730;4800;1;4730;4800;0;4730;4800;0;4730;4800;0;4730;4800;45
